"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agées"
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1990,5,56,55
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1990,7,13,13
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1990,8,26,25
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1990,9,41,41
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1990,10,68,63
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1991,6,24,24
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1991,7,55,54
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1991,8,11,11
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1991,9,68,65
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1991,10,25,23
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1992,6,82,78
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1992,7,109,101
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1992,8,39,39
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1992,9,82,82
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1993,6,62,59
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1993,7,26,26
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1993,8,44,43
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1993,9,46,46
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1993,10,50,50
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2012,4,25,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2012,5,88,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2012,6,27,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2014,5,50,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2014,6,71,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,5,119,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,6,132,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,7,53,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,4,24,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,5,167,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,6,88,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,9,19,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,5,118,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,6,45,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,7,33,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,4,24,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,5,87,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,6,60,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,7,17,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2019,5,60,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2019,6,63,0
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2020,6,16,14
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2021,5,74,64
"Commercial","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2021,6,15,15
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2014,5,159,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2014,6,7,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2014,10,4,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,5,12,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,6,4,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,7,12,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,4,5,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,5,73,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,6,35,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,5,221,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,6,99,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,8,76,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,5,35,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,6,42,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,7,52,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2019,5,103,0
"Observers","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2019,7,12,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1970,9,93,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1971,9,271,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1972,9,134,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1973,9,261,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1974,9,230,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1975,9,189,156
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1976,9,126,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1977,9,172,162
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1978,9,254,203
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1978,10,5,5
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1979,9,307,263
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1979,10,44,36
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1980,9,378,312
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1981,9,383,317
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1982,9,257,81
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1983,9,232,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1984,8,115,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1984,9,167,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1985,9,334,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1986,9,627,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1987,8,73,19
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1987,9,466,151
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1988,9,737,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1989,9,606,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1990,9,579,572
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1991,9,561,555
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1992,9,733,720
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1993,9,1345,800
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1994,9,717,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1995,9,996,187
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1996,9,1125,202
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1997,9,1170,792
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1998,9,796,176
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",1999,9,975,182
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2000,9,1031,184
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2001,9,761,172
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2002,9,1109,184
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2003,9,552,169
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2004,9,1187,703
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2005,9,728,723
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2006,9,1064,1049
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2007,9,992,972
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2008,8,256,55
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2008,9,706,111
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2009,9,885,164
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2010,9,829,166
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2011,9,597,158
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2011,10,11,1
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2012,9,636,145
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2013,9,667,159
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2014,9,748,161
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2015,9,774,163
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2016,9,633,172
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2017,9,503,159
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2018,9,387,152
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2019,9,638,167
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2020,9,230,88
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2020,10,176,68
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2021,8,18,4
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2021,9,890,145
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2022,9,706,402
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2023,9,848,326
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2023,10,207,76
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2024,8,212,0
"RV-4T","Pseudopleuronectes americanus","Winter Flounder","Plie rouge",2024,9,611,0
