name__nom,datafile__fiche de données,description_en,description_fr
Datafile - temperature,n/a,Data file used for temperature analysis for Section 1 in the R Script. Data are individual seawater temperatures recorded every 5 minutes on the sampling date for each of the four study sites  (Maisonette: Sept 1; Kouchibouguac: Sept. 26; Shemogue: Sept. 22; Powell's Cove: Sept. 8). ,Fiche de données utilisée pour l'analyse de la température pour la section 1 dans le script R. Les données sont des températures individuelles de l'eau de mer enregistrées toutes les 5 minutes à la date d'échantillonnage pour chacun des quatre sites d'étude (Maisonette : 1er septembre; Kouchibouguac : 26 septembre; Shemogue : 22 septembre; Powell's Cove : 8 septembre).
Datafile - sediment,n/a,"Data file used for sediment analysis for Section 1 in the R Script. Data are measurements of relative moisture content (%), organic content (%), and sediment grain size (phi, ?) in each of three replicate samples for each site.","Fiche de données utilisée pour l'analyse des sédiments de la section 1 dans le script R. Les données sont des mesures de la teneur en humidité relative (%), de la teneur en matières organiques (%) et de la granulométrie des sédiments (phi, ?) dans chacun des trois échantillons répétés pour chaque site."
Datafile - siphon hole counts - clam abundance,n/a,"Data file used for analysis for Section 3 in the R Script. Data are siphon hole counts for each observer from each quadrat at each site, as well as actual clam counts (>20mm, <20mm, total) and biomass for each quadrat at each site, and whether the sample was included or excluded from the analysis.","Fiche de données utilisée pour l'analyse de la section 3 dans le script R. Les données sont le nombre de trous de siphon pour chaque observateur de chaque quadrat sur chaque site, ainsi que le nombre réel de myes (>20mm, <20mm, total) et la biomasse pour chaque quadrat sur chaque site, et si l'échantillon a été inclus ou exclu de l'analyse."
Datafile - siphon hole size - clam size,n/a,"Data file used for analysis for Sections 2 and 4 in the R Script. Data are siphon hole lengths and associated clam lengths and weights for each site, as well as whether soft-shell clams were correctly identified from a siphon hole (descriptive and binary).","Fiche de données utilisée pour l'analyse des sections 2 et 4 dans le script R. Les données sont les longueurs des trous de siphon et les longueurs et poids des palourdes associées pour chaque site, ainsi que la question de savoir si les palourdes ont été correctement identifiées à partir d'un trou de siphon (descriptif et binaire)."
Datafile - daily mean temperature,n/a,"Data file used for creating Figure S2 in Section 5 in the R script. NOTE: Temperatures are averages for each day from June 1 - Oct 24 for each site, computed from discrete temperature measurements taken every 5 minutes. Julian dates were obtained online from: https://www.typecalendar.com/julian-date ","Fiche de données utilisée pour la création de la figure S2 dans la section 5 du script R. NOTE : Les températures sont des moyennes pour chaque jour du 1er juin au 24 octobre pour chaque site, calculées à partir de mesures discrètes de la température prises toutes les 5 minutes. Les dates juliennes ont été obtenues en ligne à l'adresse suivante : https://www.typecalendar.com/julian-date"
Datafile - siphon hole counts clam abundance - kouchibouguac no large sample,n/a,"Data file used for analysis for Section 5 in the R Script. Data are siphon hole counts for each observer from each quadrat at Kouchibouguac, as well as actual clam counts (>20mm, <20mm, total) and biomass for each quadrat at each site, and whether the sample was included or excluded from the analysis, with the one outstandingly high-abundance quadrat (Quadrat #9) removed. ","Fiche de données utilisée pour l'analyse de la section 5 du script R. Les données sont le nombre de trous de siphon pour chaque observateur de chaque quadrat à Kouchibouguac, ainsi que le nombre réel de myes (>20mm, <20mm, total) et la biomasse pour chaque quadrat à chaque site, et si l'échantillon a été inclus ou exclu de l'analyse, avec le seul quadrat exceptionnellement abondant (Quadrat #9) enlevé. "
site,all datafiles,Site from which the data were collected,Site où les données ont été collectées
date_time,tempature,Date and time of each individual sample in Atlantic Standard Time,Date et heure de chaque échantillon individuel en heure normale de l'Atlantique
temp,tempature ; daily mean temperature,Temperature reading in degrees Celsius,Lecture de la température en degrés Celsius
moisture,sediment,"The percentage of moisture contained in each wet sample; calculated as [(""Wet wgt"" - ""Dry wgt"") / ""Wet wgt""] x 100","Pourcentage d'humidité contenu dans chaque échantillon humide ; calculé comme suit : [(""Wet wgt"" - ""Dry wgt"") / ""Wet wgt""] x 100"
OC,sediment,"The percentage of organic material contained in each dry sample; calculated as [(""Dry wgt"" - ""Ash wgt"") / ""Dry wgt""] x 100","Pourcentage de matière organique contenue dans chaque échantillon sec ; calculé comme suit : [(""Dry wgt"" - ""Ash wgt"") / ""Dry wgt""] x 100"
grainsize,sediment,"The phi value for a given sample, calculated as phi (?) = -log2S, where S is the grain size in mm; computed using an existing Excel macro","La valeur phi pour un échantillon donné, calculée comme phi (?) = -log2S, où S est la taille du grain en mm ; calculée à l'aide d'une macro Excel existante."
quadrat,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,"Quadrat ID number, valued sequentially according to the order in which quadrats were sampled","Numéro d'identification du quadrat, évalué séquentiellement selon l'ordre dans lequel les quadrats ont été échantillonnés."
observer,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,The identity of the observer who made the siphon hole counts,L'identité de l'observateur qui a compté les trous de siphon
hole.count,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,Number of siphon holes within the quadrat counted by a given observer,Nombre de trous de siphon dans le quadrat comptés par un observateur donné
clams.above.20mm,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,Number of clams collected from the quadrat with a shell length greater than 20mm ,Nombre de myes collectées dans le quadrat dont la longueur de la coquille est supérieure à 20 mm
clams.below.20mm,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,Number of clams collected from the quadrat with a shell length less than 20mm ,Nombre de myes collectées dans le quadrat dont la longueur de la coquille est inférieure à 20 mm
total.clams,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,Total number of clams collected from the quadrat regardless of shell length,"Nombre total de myes collectées dans le quadrat, quelle que soit la longueur de la coquille."
total.clam.weight,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,"Total biomass of all clams collected from the quadrat (wet weight, in grams)","Biomasse totale de toutes les palourdes collectées dans le quadrat (poids humide, en grammes)"
include.exclude,siphon hole counts - clam abundance; siphon hole counts clam abundance - kouchibouguac no large sample,Whether or not the sample was included or excluded from the analysis,L'inclusion ou l'exclusion de l'échantillon dans l'analyse.
correct.id,siphon hole size - clam size,"Whether or not the actual species was the same as the predicted species; labelled 'Yes' if the predicted species and actual species were the same, labelled 'No' if the  predicted species and actual species were not the same","Si l'espèce réelle était ou non la même que l'espèce prédite ; étiqueté ""Oui"" si l'espèce prédite et l'espèce réelle étaient les mêmes, étiqueté ""Non"" si l'espèce prédite et l'espèce réelle n'étaient pas les mêmes."
correct.id.binary,siphon hole size - clam size,"Binary coded factor for ""ID correct?""; labelled 1 if ""ID correct?"" = 'Yes', labelled 0 if ""ID correct?"" = 'No'","Facteur codé de façon binaire pour ""ID correct ?""; étiqueté 1 si ""ID correct ?"" = ""Oui"", étiqueté 0 si ""ID correct ?"" = ""Non""."
siphon.hole.length,siphon hole size - clam size,The length of the siphon hole as measured with a digital caliper (in millimeters),La longueur du trou du siphon mesurée avec un pied à coulisse numérique (en millimètres).
clam.length,siphon hole size - clam size,The shell length of the clam that the siphon hole belonged to as measured with a digital caliper (in millimeters),"Longueur de la coquille de la mye à laquelle appartenait le trou de siphon, mesurée à l'aide d'un pied à coulisse numérique (en millimètres)."
clam.weight,siphon hole size - clam size,The wet weight of the clam that the siphon hole belonged to as measured with a field scale (in grams),"Le poids humide de la mye à laquelle appartenait le trou de siphon, mesuré à l'aide d'une balance de terrain (en grammes)."
date,daily mean temperature,Date on which the data were collected,Date à laquelle les données ont été collectées
julian.date,daily mean temperature,Julian calendar date; obtained online,Date du calendrier julien ; obtenue en ligne
